%% LAL: 7.1.5 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALFrame: 1.6.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALMetaIO: 2.1.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALSimulation: 3.1.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALBurst: 1.5.10 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALInspiral: 2.0.4 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALPulsar: 3.1.1 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALInference: 3.0.1 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALApps: 7.4.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% argv[0]: '/home/m206265/.local/bin/lalapps_ComputeAntennaPattern'
%% argv[1]: '-a'
%% argv[2]: '1.45968'
%% argv[3]: '-d'
%% argv[4]: '0.38422'
%% argv[5]: '--ephemSun=/home/m206265/lalapps_work/data/sun00-19-DE405.dat'
%% argv[6]: '--ephemEarth=/home/m206265/lalapps_work/data/earth00-19-DE405.dat'
%% argv[7]: '-I'
%% argv[8]: 'L1'
%% argv[9]: '-T'
%% argv[10]: '/home/m206265/lalapps_work/data/O2_1_L1_tslist.txt'
%% argv[11]: '--Tsft=1800'
%% argv[12]: '--noiseSqrtShX=0.00751'
%% argv[13]: '-o'
%% argv[14]: 'AntPatt_L1.txt'
%% argv[15]: '-O'
%% argv[16]: 'ABCD_L1.txt'
%% columns:
%% Alpha   Delta       tGPS       a(t)         b(t)
1.4596800  0.3842200  1168576196   0.66614300  -0.70535964
1.4596800  0.3842200  1168577996   0.56144977  -0.75664002
1.4596800  0.3842200  1168579796   0.44790047  -0.78421634
1.4596800  0.3842200  1168581596   0.33187065  -0.78697926
1.4596800  0.3842200  1168583396   0.21987733  -0.76500332
1.4596800  0.3842200  1168585196   0.11816259  -0.71958303
1.4596800  0.3842200  1168586996   0.03228600  -0.65309942
1.4596800  0.3842200  1168588796  -0.03322873  -0.56889981
1.4596800  0.3842200  1168590596  -0.07518736  -0.47108296
1.4596800  0.3842200  1168592396  -0.09190527  -0.36423340
1.4596800  0.3842200  1168594196  -0.08332747  -0.25316730
1.4596800  0.3842200  1168595996  -0.05099016  -0.14262554
1.4596800  0.3842200  1168597796   0.00208968  -0.03700755
1.4596800  0.3842200  1168599596   0.07163282   0.05987900
1.4596800  0.3842200  1168601396   0.15241051   0.14501405
1.4596800  0.3842200  1168603196   0.23860218   0.21632022
1.4596800  0.3842200  1168604996   0.32420564   0.27273202
1.4596800  0.3842200  1168606796   0.40344292   0.31420219
1.4596800  0.3842200  1168608596   0.47116676   0.34165141
1.4596800  0.3842200  1168632110   0.17748281   0.42176545
1.4596800  0.3842200  1168633910   0.18486252   0.43665245
1.4596800  0.3842200  1168635710   0.21304220   0.44456854
1.4596800  0.3842200  1168649726   0.81047106   0.03095265
1.4596800  0.3842200  1168651526   0.86203873  -0.08238757
1.4596800  0.3842200  1168653326   0.89139807  -0.20091601
1.4596800  0.3842200  1168655126   0.89593005  -0.31996697
1.4596800  0.3842200  1168656926   0.87453091  -0.43458995
1.4596800  0.3842200  1168658726   0.82773852  -0.53984028
1.4596800  0.3842200  1168660526   0.75769293  -0.63106644
